"GEO_ID","NAME","POP"
"0500000US12105","Polk County, Florida","483924"
"0500000US12107","Putnam County, Florida","70423"
"0500000US12109","St. Johns County, Florida","123135"
"0500000US12111","St. Lucie County, Florida","192695"
"0500000US12113","Santa Rosa County, Florida","117743"
"0500000US12115","Sarasota County, Florida","325957"
"0500000US12117","Seminole County, Florida","365196"
"0500000US12119","Sumter County, Florida","53345"
"0500000US12121","Suwannee County, Florida","34844"
"0500000US12123","Taylor County, Florida","19256"
"0500000US12125","Union County, Florida","13442"
"0500000US12127","Volusia County, Florida","443343"
"0500000US12129","Wakulla County, Florida","22863"
"0500000US12131","Walton County, Florida","40601"
"0500000US12133","Washington County, Florida","20973"
"0500000US13001","Appling County, Georgia","17419"
"0500000US13003","Atkinson County, Georgia","7609"
"0500000US13005","Bacon County, Georgia","10103"
"0500000US13007","Baker County, Georgia","4074"
"0500000US13009","Baldwin County, Georgia","44700"
"0500000US13011","Banks County, Georgia","14422"
"0500000US13013","Barrow County, Georgia","46144"
"0500000US13015","Bartow County, Georgia","76019"
"0500000US13017","Ben Hill County, Georgia","17484"
"0500000US13019","Berrien County, Georgia","16235"
"0500000US13021","Bibb County, Georgia","153887"
"0500000US13023","Bleckley County, Georgia","11666"
"0500000US13025","Brantley County, Georgia","14629"
"0500000US13027","Brooks County, Georgia","16450"
"0500000US13029","Bryan County, Georgia","23417"
"0500000US13031","Bulloch County, Georgia","55983"
"0500000US13033","Burke County, Georgia","22243"
"0500000US13035","Butts County, Georgia","19522"
"0500000US13037","Calhoun County, Georgia","6320"
"0500000US13039","Camden County, Georgia","43664"
"0500000US13043","Candler County, Georgia","9577"
"0500000US13045","Carroll County, Georgia","87268"
"0500000US13047","Catoosa County, Georgia","53282"
"0500000US13049","Charlton County, Georgia","10282"
"0500000US13051","Chatham County, Georgia","232048"
"0500000US13053","Chattahoochee County, Georgia","14882"
"0500000US13055","Chattooga County, Georgia","25470"
"0500000US13057","Cherokee County, Georgia","141903"
"0500000US13059","Clarke County, Georgia","101489"
"0500000US13061","Clay County, Georgia","3357"
"0500000US13063","Clayton County, Georgia","236517"
"0500000US13065","Clinch County, Georgia","6878"
"0500000US13067","Cobb County, Georgia","607751"
"0500000US13069","Coffee County, Georgia","37413"
"0500000US13071","Colquitt County, Georgia","42053"
"0500000US13073","Columbia County, Georgia","89288"
"0500000US13075","Cook County, Georgia","15771"
"0500000US13077","Coweta County, Georgia","89215"
"0500000US13079","Crawford County, Georgia","12495"
"0500000US13081","Crisp County, Georgia","21996"
"0500000US13083","Dade County, Georgia","15154"
"0500000US13085","Dawson County, Georgia","15999"
"0500000US13087","Decatur County, Georgia","28240"
"0500000US13089","DeKalb County, Georgia","665865"
"0500000US13091","Dodge County, Georgia","19171"
"0500000US13093","Dooly County, Georgia","11525"
"0500000US13095","Dougherty County, Georgia","96065"
"0500000US13097","Douglas County, Georgia","92174"
"0500000US13099","Early County, Georgia","12354"
"0500000US13101","Echols County, Georgia","3754"
"0500000US13103","Effingham County, Georgia","37535"
"0500000US13105","Elbert County, Georgia","20511"
"0500000US13107","Emanuel County, Georgia","21837"
"0500000US13109","Evans County, Georgia","10495"
"0500000US13111","Fannin County, Georgia","19798"
"0500000US13113","Fayette County, Georgia","91263"
"0500000US13115","Floyd County, Georgia","90565"
"0500000US13117","Forsyth County, Georgia","98407"
"0500000US13119","Franklin County, Georgia","20285"
"0500000US13121","Fulton County, Georgia","816006"
"0500000US13123","Gilmer County, Georgia","23456"
"0500000US13125","Glascock County, Georgia","2556"
"0500000US13127","Glynn County, Georgia","67568"
"0500000US13129","Gordon County, Georgia","44104"
"0500000US13131","Grady County, Georgia","23659"
"0500000US13133","Greene County, Georgia","14406"
"0500000US13135","Gwinnett County, Georgia","588448"
"0500000US13137","Habersham County, Georgia","35902"
"0500000US13139","Hall County, Georgia","139277"
"0500000US13141","Hancock County, Georgia","10076"
"0500000US13143","Haralson County, Georgia","25690"
"0500000US13145","Harris County, Georgia","23695"
"0500000US13147","Hart County, Georgia","22997"
"0500000US13149","Heard County, Georgia","11012"
"0500000US13151","Henry County, Georgia","119341"
"0500000US13153","Houston County, Georgia","110765"
"0500000US13155","Irwin County, Georgia","9931"
"0500000US13157","Jackson County, Georgia","41589"
"0500000US13159","Jasper County, Georgia","11426"
"0500000US13161","Jeff Davis County, Georgia","12684"
"0500000US13163","Jefferson County, Georgia","17266"
"0500000US13165","Jenkins County, Georgia","8575"
"0500000US13167","Johnson County, Georgia","8560"
"0500000US13169","Jones County, Georgia","23639"
"0500000US13171","Lamar County, Georgia","15912"
"0500000US13173","Lanier County, Georgia","7241"
"0500000US13175","Laurens County, Georgia","44874"
"0500000US13177","Lee County, Georgia","24757"
"0500000US13179","Liberty County, Georgia","61610"
"0500000US13181","Lincoln County, Georgia","8348"
"0500000US13183","Long County, Georgia","10304"
"0500000US13185","Lowndes County, Georgia","92115"
"0500000US13187","Lumpkin County, Georgia","21016"
"0500000US13189","McDuffie County, Georgia","21231"
"0500000US13191","McIntosh County, Georgia","10847"
"0500000US13193","Macon County, Georgia","14074"
"0500000US13195","Madison County, Georgia","25730"
"0500000US13197","Marion County, Georgia","7144"
"0500000US13199","Meriwether County, Georgia","22534"
"0500000US13201","Miller County, Georgia","6383"
"0500000US13205","Mitchell County, Georgia","23932"
"0500000US13207","Monroe County, Georgia","21757"
"0500000US13209","Montgomery County, Georgia","8270"
"0500000US13211","Morgan County, Georgia","15457"
"0500000US13213","Murray County, Georgia","36506"
"0500000US13215","Muscogee County, Georgia","186291"
"0500000US13217","Newton County, Georgia","62001"
"0500000US13219","Oconee County, Georgia","26225"
"0500000US13221","Oglethorpe County, Georgia","12635"
"0500000US13223","Paulding County, Georgia","81678"
"0500000US13225","Peach County, Georgia","23668"
"0500000US13227","Pickens County, Georgia","22983"
"0500000US13229","Pierce County, Georgia","15636"
"0500000US13231","Pike County, Georgia","13688"
"0500000US13233","Polk County, Georgia","38127"
"0500000US13235","Pulaski County, Georgia","9588"
"0500000US13237","Putnam County, Georgia","18812"
"0500000US13239","Quitman County, Georgia","2598"
"0500000US13241","Rabun County, Georgia","15050"
"0500000US13243","Randolph County, Georgia","7791"
"0500000US13245","Richmond County, Georgia","199775"
"0500000US13247","Rockdale County, Georgia","70111"
"0500000US13249","Schley County, Georgia","3766"
"0500000US13251","Screven County, Georgia","15374"
"0500000US13253","Seminole County, Georgia","9369"
"0500000US13255","Spalding County, Georgia","58417"
"0500000US13257","Stephens County, Georgia","25435"
"0500000US13259","Stewart County, Georgia","5252"
"0500000US13261","Sumter County, Georgia","33200"
"0500000US13263","Talbot County, Georgia","6498"
"0500000US13265","Taliaferro County, Georgia","2077"
"0500000US13267","Tattnall County, Georgia","22305"
"0500000US13269","Taylor County, Georgia","8815"
"0500000US13271","Telfair County, Georgia","11794"
"0500000US13273","Terrell County, Georgia","10970"
"0500000US13275","Thomas County, Georgia","42737"
"0500000US13277","Tift County, Georgia","38407"
"0500000US13279","Toombs County, Georgia","26067"
"0500000US13281","Towns County, Georgia","9319"
"0500000US13283","Treutlen County, Georgia","6854"
"0500000US13285","Troup County, Georgia","58779"
"0500000US13287","Turner County, Georgia","9504"
"0500000US13289","Twiggs County, Georgia","10590"
"0500000US13291","Union County, Georgia","17289"
"0500000US13293","Upson County, Georgia","27597"
"0500000US13295","Walker County, Georgia","61053"
"0500000US13297","Walton County, Georgia","60687"
"0500000US13299","Ware County, Georgia","35483"
"0500000US13301","Warren County, Georgia","6336"
"0500000US13303","Washington County, Georgia","21176"
"0500000US13305","Wayne County, Georgia","26565"
"0500000US13307","Webster County, Georgia","2390"
"0500000US13309","Wheeler County, Georgia","6179"
"0500000US13311","White County, Georgia","19944"
"0500000US13313","Whitfield County, Georgia","83525"
"0500000US13315","Wilcox County, Georgia","8577"
"0500000US13317","Wilkes County, Georgia","10687"
"0500000US13319","Wilkinson County, Georgia","10220"
"0500000US13321","Worth County, Georgia","21967"
"0500000US15001","Hawaii County, Hawaii","148677"
"0500000US15003","Honolulu County, Hawaii","876156"
"0500000US15005","Kalawao County, Hawaii","147"
"0500000US15007","Kauai County, Hawaii","58463"
"0500000US15009","Maui County, Hawaii","128094"
"0500000US16001","Ada County, Idaho","300904"
"0500000US16003","Adams County, Idaho","3476"
"0500000US16005","Bannock County, Idaho","75565"
"0500000US16007","Bear Lake County, Idaho","6411"
"0500000US16009","Benewah County, Idaho","9171"
"0500000US16011","Bingham County, Idaho","41735"
"0500000US16013","Blaine County, Idaho","18991"
"0500000US16015","Boise County, Idaho","6670"
"0500000US16017","Bonner County, Idaho","36835"
"0500000US16019","Bonneville County, Idaho","82522"
"0500000US16021","Boundary County, Idaho","9871"
"0500000US16023","Butte County, Idaho","2899"
"0500000US16025","Camas County, Idaho","991"
"0500000US16027","Canyon County, Idaho","131441"
"0500000US16029","Caribou County, Idaho","7304"
"0500000US16031","Cassia County, Idaho","21416"
"0500000US16033","Clark County, Idaho","1022"
"0500000US16035","Clearwater County, Idaho","8930"
"0500000US16037","Custer County, Idaho","4342"
"0500000US16039","Elmore County, Idaho","29130"
"0500000US16041","Franklin County, Idaho","11329"
"0500000US16043","Fremont County, Idaho","11819"
"0500000US16045","Gem County, Idaho","15181"
"0500000US16047","Gooding County, Idaho","14155"
"0500000US16049","Idaho County, Idaho","15511"
"0500000US16051","Jefferson County, Idaho","19155"
"0500000US16053","Jerome County, Idaho","18342"
"0500000US16055","Kootenai County, Idaho","108685"
"0500000US16057","Latah County, Idaho","34935"
"0500000US16059","Lemhi County, Idaho","7806"
"0500000US16061","Lewis County, Idaho","3747"
"0500000US16063","Lincoln County, Idaho","4044"
